timestamp,x,y,cumulative_distance
1758439120.9842355,0.9994886211738653,2.0003081275989283,0.0
1758439121.0043602,0.9994866679868054,2.000308209199135,1.954890862566519e-06
1758439121.0243533,0.9994847147652929,2.000308290948594,3.909822383384562e-06
1758439121.0436575,0.9994827615090361,2.000308372846783,5.864794843002189e-06
1758439121.0634909,0.9994808082177448,2.0003084548931827,7.819808520867303e-06
1758439121.0832498,1.0004372920411446,2.000309921155332,0.0009643047557888828
1758439121.1036165,1.0031819397111943,2.0003148265639816,0.003708956809464013
1758439121.1247976,1.0067624461486646,2.0006115003155513,0.007301733126414021
1758439121.1456747,1.0103482146129044,2.0014772508148893,0.010990535019473623
1758439121.1664228,1.0139176978586808,2.002900519858198,0.014833308160256225
1758439121.1865315,1.017467893767414,2.0048846984586186,0.01890035324345265
1758439121.2066405,1.0209946341083684,2.0074328256975056,0.023251312891400828
1758439121.226086,1.0244980233904308,2.010546701539216,0.02793852519929331
1758439121.245672,1.0288894432155686,2.014022855303253,0.033539258461272446
1758439121.265814,1.0343811470259023,2.0177917045792744,0.04019981666654335
1758439121.2857265,1.0402775857604232,2.0221277474629913,0.04751891890926341
1758439121.3055098,1.0464123757294725,2.0270992575547315,0.05541521934406348
1758439121.325082,1.0527075594869124,2.0327410771024654,0.06386858946189974
1758439121.3446724,1.0592489138373955,2.0390358677733977,0.07294678897113285
1758439121.3642488,1.0655148394915317,2.045489971107355,0.08194219191644657
1758439121.3840678,1.0712066632371966,2.051671762997463,0.09034525139049047
1758439121.4041762,1.0758970002232744,2.0576345027320824,0.09793165542572221
1758439121.424014,1.0799411764254325,2.063370205519199,0.10494974972661607
1758439121.4440055,1.083886175024268,2.068942438594545,0.11177710612501765
1758439121.4640665,1.0877288374728218,2.074543643491637,0.11856971615303587
1758439121.4845293,1.0915110800762282,2.0801500303866103,0.12533262478225374
1758439121.5040848,1.0951689364080164,2.085677490783652,0.13196080186082268
1758439121.5239246,1.098825971871045,2.0911636176613504,0.1385540936408104
1758439121.5443177,1.1025346119564563,2.096535095365338,0.14508148086753114
1758439121.5641723,1.106557613085887,2.1016123934819038,0.151559404474049
1758439121.5840247,1.1105650317685956,2.106554364248855,0.15792198882004582
1758439121.6038654,1.1146017925732785,2.1112603864884654,0.1641221568108289
1758439121.6238337,1.1184483330385704,2.1158027516724522,0.17007437950624477
1758439121.6441288,1.1222364599945946,2.120215979029851,0.17589043328376866
1758439121.663847,1.1259721333111234,2.124598165664099,0.18164880239534953
1758439121.683739,1.1296671169916244,2.1290137401628946,0.1874064236536107
1758439121.703598,1.1333182159398254,2.1334706369260337,0.19316788634001547
1758439121.7237093,1.1369252225491278,2.137958361915514,0.19892550496760408
1758439121.744998,1.1404887299110322,2.1424859810759043,0.20468726858475136
1758439121.7648938,1.1440083244057406,2.1470421100028507,0.21044451238766088
1758439121.7848668,1.1474836888466486,2.1516382193240693,0.21620666293148738
1758439121.804819,1.1509153511082546,2.1562603182346556,0.22196340716907284
1758439121.8245916,1.1542975515147869,2.160921891346948,0.22772270777515286
1758439121.8448887,1.1576416585425802,2.16561129515013,0.23348235705637077
1758439121.8646507,1.1609341852330683,2.1703367655095027,0.23924176693281546
1758439121.884846,1.1641892543008112,2.1750890236905627,0.2450019259979132
1758439121.9049392,1.1673917060864825,2.1798728571387476,0.25075872718429454
1758439121.9247124,1.1705471180321194,2.1846922699931306,0.2565192275798905
1758439121.9447737,1.173654878196739,2.1895378435601796,0.26227576789803997
1758439121.9648573,1.176715133585188,2.1944174864981942,0.2680356357997411
1758439121.9850352,1.179725149283068,2.199326164140329,0.2737937006392404
1758439122.0054088,1.1826952352347508,2.204260691762319,0.2795531253859114
1758439122.026593,1.185611214956045,2.209225400108928,0.28531083905558
1758439122.0463905,1.1884834765362378,2.2142168013749535,0.2910696560507215
1758439122.066911,1.1913026692988526,2.2192401394866055,0.2968300183324496
1758439122.086438,1.1940726545037676,2.2242878785225355,0.3025878380074915
1758439122.1065063,1.1967994825311274,2.229360325467384,0.30834677099018
1758439122.1264231,1.1994720061364663,2.2344636685925248,0.3141075429414045
1758439122.1469562,1.2020970209507797,2.2395881383283887,0.31986522414560037
1758439122.1666396,1.204672927752109,2.244738491791291,0.32562382090539926
1758439122.1864522,1.2071951649999988,2.249916800628205,0.3313837308999305
1758439122.2061207,1.209669109097651,2.255121170026022,0.33714618352249015
1758439122.2257774,1.2120972318824843,2.2603417807891457,0.3429038355611487
1758439122.245672,1.214472757692025,2.2655891296917403,0.34866385234735287
1758439122.265527,1.216796722586121,2.2708591772404634,0.3544235584157901
1758439122.2856014,1.2190666885679544,2.276144464536024,0.36017568909539865
1758439122.3055358,1.2212886659681377,2.2814569791786488,0.36593416071511076
1758439122.3259938,1.2234487683161406,2.2867834969681184,0.3716820154379952
1758439122.346165,1.2255663745020506,2.2921358666321647,0.37743806590504353
1758439122.3662148,1.227617394133898,2.2975035485145425,0.38318425510490717
1758439122.3858733,1.2296256703369732,2.30289684084509,0.3889393203061522
1758439122.4055543,1.2315822972035357,2.308303662844525,0.39468928663896913
1758439122.4255376,1.233484915631561,2.3137310414280265,0.40044049478781163
1758439122.445472,1.2353327469833233,2.319176552446484,0.4061909791984239
1758439122.4654133,1.2371289903230216,2.3246397663632137,0.4119419092480212
1758439122.4855475,1.2388768497199312,2.3301212091864874,0.4176952759055691
1758439122.5056865,1.2405660559408553,2.3356170503744043,0.42344485745726596
1758439122.525689,1.2421891462320485,2.341125010534577,0.4291869866111092
1758439122.5461679,1.243732714589524,2.3466460239295004,0.4349197165176304
